URL;Colección;Modelo;Código EAN;Alto con embalaje;Alto de producto;Ancho con embalaje;Ancho de producto;Espesor de producto;Fondo con embalaje;Peso del producto;Acabado;Antihielo;Cobertura;Diseño;Interior/Exterior/Ambos;Material;Rectificado;Unidades del pack;Nota adicional;Declaración de prestaciones (DoP);Antideslizante;Encastrable;Vendido por;Garantía;Normas y certificados;Clasificación PEI;Normas;Marca;Lustre;Efecto;Certificado;Error;Cobertura por paquete (m2);Escala MOHS;Nivel de tránsito
https://www.bricodepot.es/azulejo-janise-blanco-mate-25x40-cm-5059340460222?queryID=9f5509bd07463da48df6de1e5990e09f&objectID=246475&indexName=pro_ES_products;Blancos;Janise;5059340460222;15;25 cm;40 cm;40 cm;9.5 mm;40;23;Mate;No;1.5;Liso;Interior;Pasta roja;No;15;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_ES_PT_5059340460222;No;No;Brico Depôt;3 años;;;;;;;;;;;
https://www.bricodepot.es/azulejo-catanzaro-decor-20-x-60-cm-5036581063580?queryID=fde6859d5f0f83d9ca6b638cead104fe&objectID=132945&indexName=pro_ES_products;Catanzaro;;5036581063580;10;20 cm;20 cm;60 cm;8 mm;60;1;Brillo;No;;relieve;Interior;pasta roja;No;12;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_5036581063580;No;No;Brico Depôt;3 años;primera_calidad_ES;PEI2;;;;;;;;;
https://www.bricodepot.es/azulejo-martia-mosaico-gris-20x60-cm-5059340719634?queryID=bc79b412b348f9fbdef8ff2b89d31df1&objectID=248338&indexName=pro_ES_products;Blanco/color;Martia;5059340719634;10;20 cm;60 cm;60 cm;8.3 mm;;21.8;Brillo;No;2;Liso;Interior;"Cerámica; Pasta roja";No;16;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_ES_PT_5059340719634;No;No;Brico Depôt;3 años;;;EN 14411;Cooke & Lewis;;;;;;;
https://www.bricodepot.es/azulejo-ceramico-blanco-mate-20-x-20-cm-8432712279467?queryID=bf0fb916ad84c9ca10d45eeb8fef76fe&objectID=134953&indexName=pro_ES_products;;;8432712279467;26.5;20 cm;20.5 cm;20 cm;;20.5;17.15;Mate;No;1.4;Liso;Interior;Cerámica;No;35;Se espera cierto grado de variación en el color o en el tono de estos productos. Escoja siempre cajas que tengan el mismo número de referencia, en cuanto a selección y tono, calibre y producción. Es recomendable adquirir un 15 % más de material.;DOP_ES_PT_8432712279467;No;No;Brico Depôt;3 años;;;;;;;;;;;
https://www.bricodepot.es/azulejo-alexandrina-decor-3663602848363?queryID=e09826a162334a80fd41306b111f9a50&objectID=132921&indexName=pro_ES_products;;3WB;3663602848363;15.5;25 cm;25.5 cm;40 cm;9.2 mm;41;1.59;Brillo;No;1.5;Mosaico;Interior;Pasta roja;No;15;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_PT_3663602848363;No;No;Brico Depôt;3 años;;;;Colours;Brillo;;;;;;
https://www.bricodepot.es/azulejo-martia-mosaico-gris-20x60-cm-5059340719634?queryID=d5623298d004f8572e88dab2cc9d6e05&objectID=248338&indexName=pro_ES_products;Blanco/color;Martia;5059340719634;10;20 cm;60 cm;60 cm;8.3 mm;;21.8;Brillo;No;2;Liso;Interior;"Cerámica; Pasta roja";No;16;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_ES_PT_5059340719634;No;No;Brico Depôt;3 años;;;EN 14411;Cooke & Lewis;;;;;;;
https://www.bricodepot.es/azulejo-ceramico-blanco-brillante-plain-20-x-60-cm-5036581063542?queryID=74e753ab0c76619db80ad83dfe007b6e&objectID=135480&indexName=pro_ES_products;Plein;;5036581063542;10;20 cm;20 cm;60 cm;9 mm;60;22;Brillo;No;1.44;Liso;Interior;Cerámica. Pasta roja. Libre de contaminantes volátiles.;No;13;Se espera cierto grado de variación en el color o en el tono de estos productos. Escoja siempre cajas que tengan el mismo número de referencia, en cuanto a selección y tono, calibre y producción. Es recomendable adquirir un 15 % más de material.;DOP_5036581063542;No;No;Brico Depôt;3 años;;;;Goodhome;Brillante;;;;;;
https://www.bricodepot.es/azulejo-ceramico-blanco-brillo-20-x-20-cm-8432712279436?queryID=47902b11a357d77f56808164c2828d75&objectID=134952&indexName=pro_ES_products;;;8432712279436;26.5;20 cm;20.5 cm;20 cm;;20.5;17.15;Brillo;No;;Liso;Interior;Cerámica;No;35;Se espera cierto grado de variación en el color o en el tono de estos productos. Escoja siempre cajas que tengan el mismo número de referencia, en cuanto a selección y tono, calibre y producción. Es recomendable adquirir un 15 % más de material.;DOP_PT_8432712279436;No;No;Brico Depôt;3 años;;;;;;;;;;;
https://www.bricodepot.es/azulejo-ceramico-blanco-brillo-alexandrina-25x40-cm-3663602848349?queryID=d86aaaa944a0e8ffb3ef94421c518f7d&objectID=132920&indexName=pro_ES_products;Alexandrina;AB1FWHIGXXCA;3663602848349;15.5;25 cm;25.5 cm;40 cm;9.2 mm;41;1.59;Brillo;No;1.5;Liso;Interior;Pasta roja;No;15;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DoP_0060;No;No;Brico Depôt;3 años;;;;Colours;Brillo;;;;;;
https://www.bricodepot.es/azulejo-catanzaro-20-x-60-cm-5036581063504?queryID=d7752ad37e040ef1c29b1a371e4f063d&objectID=132944&indexName=pro_ES_products;Catanzaro;;5036581063504;10;20 cm;20 cm;60 cm;8 mm;60;1;Brillo;No;;Liso;Interior;pasta roja;No;12;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_5036581063504;No;No;Brico Depôt;3 años;primera_calidad_ES;PEI2;;;;;;;;;
